3,Humanberufliche Schule,Höhere & Berufsbildende Schulen
7,Höhere technische - gewerbliche Lehranstalt,Höhere & Berufsbildende Schulen
10,Neue Mittelschule,Pflichtschulen
12,Polytechnische Schule,Pflichtschulen
1,Erwachsenenbildung,""
6,Höhere Bundeslehranstalt,Höhere & Berufsbildende Schulen
13,Technische Universität Graz,Universitäten; Hoch- & Fachhochschulen
17,Karl-Franzens-Universität Graz,Universitäten; Hoch- & Fachhochschulen
4,Kaufmännische Schule,Höhere & Berufsbildende Schulen
2,Fachschule,Höhere & Berufsbildende Schulen
8,Volksschule,Pflichtschulen
11,Sonderschule für Kinder mit sonderpäd. Förderbedarf,Pflichtschulen
18,Pädagogische Hochschule,Universitäten; Hoch- & Fachhochschulen
16,Kunstuniversität Graz,Universitäten; Hoch- & Fachhochschulen
14,Medizinische Universität Graz,Universitäten; Hoch- & Fachhochschulen
15,Fachhochschule,Universitäten; Hoch- & Fachhochschulen
5,Allgemein bildende höhere Schule,Höhere & Berufsbildende Schulen
9,Realschule,Pflichtschulen
